segment_id,segment_length,cumulative_length,segment_elev_change,segment_time,cumulative_time,segment_energy,cumulative_energy
1,23.43165516088504,23.43165516088504,0.0,9.026248679860634,9.026248679860634,20419.55925317474,20419.55925317474
2,22.30541895375137,45.737074114636414,0.0,9.90837907502726,18.93462775488789,19349.63323674764,39769.19248992238
3,121.77331951716423,167.51039363180064,3.0,21.208532838117314,40.143160593005206,132222.24760424954,171991.4400941719
4,75.10283306400329,242.61322669580392,0.0,15.645843488396666,55.78900408140187,69753.87890139934,241745.31899557123
5,111.11626378601052,353.7294904818144,4.0,19.946236819630673,75.73524090103254,129968.12667143898,371713.4456670102
6,263.06204645763233,616.7915369394468,-1.0,35.53385830527146,111.26909920630399,178993.69266403723,550707.1383310475
7,92.17892469450909,708.9704616339559,0.0,19.885662593455532,131.1547617997595,83834.50291822254,634541.6412492701
8,197.1774207507789,906.1478823847348,-5.0,29.277721183806534,160.43248298356605,111339.11662547867,745880.7578747487
9,425.0930504616435,1331.2409328463782,4.0,49.59040237092888,210.02288535449492,314997.52723064274,1060878.2851053914
10,1128.564361748475,2459.805294594853,-16.0,111.32561698050175,321.3485023349967,420362.6199462238,1481240.905051615
11,300.5189076609488,2760.3242022558015,-9.0,36.87559433329646,358.22409666829316,113854.39938883453,1595095.3044404497
12,84.3590461607733,2844.6832484165748,0.0,17.813917170420545,376.0380138387137,76785.63200189239,1671880.9364423421
13,163.52022611695807,3008.2034745335327,1.0,26.57234822610761,402.61036206482135,147651.1635009443,1819532.0999432865
